Cereal,Cal,Protein,Fat,Sodium,Fiber,Carbs,Sugar,Potassium
ACCheerios,110,2,2,180,1.5,10.5,10,70
Cheerios,110,6,2,290,2,17,1,105
CocoaPuffs,110,1,1,180,0,12,13,55
CountChocula,110,1,1,180,0,12,13,65
GoldenGrahams,110,1,1,280,0,15,9,45
HoneyNutCheerios,110,3,1,250,1.5,11.5,10,90
Kix,110,2,1,260,0,21,3,40
LuckyCharms,110,2,1,180,0,12,12,55
MultiGrainCheerios,100,2,1,220,2,15,6,90
OatmealRaisinCrisp,130,3,2,170,1.5,13.5,10,120
RaisinNutBran,100,3,2,140,2.5,10.5,8,140
TotalCornFlakes,110,2,1,200,0,21,3,35
TotalRaisinBran,140,3,1,190,4,15,14,230
TotalWholeGrain,100,3,1,200,3,16,3,110
Trix,110,1,1,140,0,13,12,25
Cheaties,100,3,1,200,3,17,3,110
WheatiesHoneyGold,110,2,1,200,1,16,8,60
AllBran,70,4,1,260,9,7,5,320
AppleJacks,110,2,0,125,1,11,14,30
CornFlakes,100,2,0,290,1,21,2,35
CornPops,110,1,0,90,1,13,12,20
CracklinOatBran,110,3,3,140,4,10,7,160
Crispix,110,2,0,220,1,21,3,30
FrootLoops,110,2,1,125,1,11,13,30
FrostedFlakes,110,1,0,200,1,14,11,25
FrostedMiniWheats,100,3,0,0,3,14,7,100
FruitfulBran,120,3,0,240,5,14,12,190
JustRightCrunchyNuggets,110,2,1,170,1,17,6,60
MueslixCrispyBlend,160,3,2,150,3,17,13,160
NutNHoneyCrunch,120,2,1,190,0,15,9,40
NutriGrainAlmondRaisin,140,3,2,220,3,21,7,130
NutriGrainWheat,90,3,0,170,3,18,2,90
Product19,100,3,0,320,1,20,3,45
RaisinBran,120,3,1,210,5,14,12,240
RiceKrispies,110,2,0,290,0,22,3,35
Smacks,110,2,1,70,1,9,15,40
SpecialK,110,6,0,230,1,16,3,55
CapNCrunch,120,1,2,220,0,12,12,35
HoneyGrahamOhs,120,1,2,220,1,12,11,45
Life,100,4,2,150,2,12,6,95
PuffedRice,50,1,0,0,0,13,0,15
PuffedWheat,50,2,0,0,1,10,0,50
QuakerOatmeal,100,5,2,0,2.7,1,1,110
