bay_id,st_marker_id,status,location,lat,lon
6243,13301S,Unoccupied,"(-37.82234164036471, 144.946869916901)",-37.82234164036471,144.946869916901
1330,1346E,Unoccupied,"(-37.814809292410146, 144.9579356194009)",-37.814809292410146,144.9579356194009
4037,C6112,Unoccupied,"(-37.804662541975574, 144.95235059041968)",-37.804662541975574,144.95235059041968
2706,10338E,Unoccupied,"(-37.803428592843034, 144.94395710597473)",-37.803428592843034,144.94395710597473
2687,10196E,Unoccupied,"(-37.80363260222154, 144.94961580163655)",-37.80363260222154,144.94961580163655
5068,9845S,Present,"(-37.82535747598158, 144.96966259427438)",-37.82535747598158,144.96966259427438
6555,13771W,Unoccupied,"(-37.8121649254436, 144.9384660936608)",-37.8121649254436,144.9384660936608
4403,C7240,Unoccupied,"(-37.80792434807715, 144.9521679122788)",-37.80792434807715,144.9521679122788
6538,13778E,Unoccupied,"(-37.81326599137738, 144.93925177789228)",-37.81326599137738,144.93925177789228
2005,3433S,Unoccupied,"(-37.8107886031315, 144.96364732449337)",-37.8107886031315,144.96364732449337
4193,C6656,Unoccupied,"(-37.80858464747753, 144.9589793369648)",-37.80858464747753,144.9589793369648
6395,13643W,Unoccupied,"(-37.82061380616932, 144.94546998172984)",-37.82061380616932,144.94546998172984
719,551W,Unoccupied,"(-37.809528214028376, 144.9692747071373)",-37.809528214028376,144.9692747071373
4381,C7196,Unoccupied,"(-37.807568064386864, 144.9529019571974)",-37.807568064386864,144.9529019571974
1324,1339W,Unoccupied,"(-37.81520068144283, 144.9578608365442)",-37.81520068144283,144.9578608365442
2152,3795S,Unoccupied,"(-37.81052567244228, 144.9608953174046)",-37.81052567244228,144.9608953174046
6215,13308E,Unoccupied,"(-37.81993516713928, 144.947190042579)",-37.81993516713928,144.947190042579
6302,13361W,Unoccupied,"(-37.81908992478574, 144.94931493665388)",-37.81908992478574,144.94931493665388
5313,7813W,Unoccupied,"(-37.829452221386546, 144.9710348841311)",-37.829452221386546,144.9710348841311
2667,10176E,Present,"(-37.80415897928181, 144.94952302106753)",-37.80415897928181,144.94952302106753
4371,C7176,Present,"(-37.80742646322691, 144.95319331349833)",-37.80742646322691,144.95319331349833
5646,12287S,Present,"(-37.809769174700094, 144.97703568928648)",-37.809769174700094,144.97703568928648
4114,C6380,Unoccupied,"(-37.804008866097604, 144.95095945647938)",-37.804008866097604,144.95095945647938
5031,9506N,Unoccupied,"(-37.82841181091756, 144.96660921706632)",-37.82841181091756,144.96660921706632
3988,C5944,Unoccupied,"(-37.80405062926678, 144.9539715127865)",-37.80405062926678,144.9539715127865
5873,C9194,Unoccupied,"(-37.79847842962775, 144.9654565458578)",-37.79847842962775,144.9654565458578
5070,9847S,Present,"(-37.82537644463801, 144.96959848963277)",-37.82537644463801,144.96959848963277
1036,1211W,Unoccupied,"(-37.81247081755339, 144.95941713343254)",-37.81247081755339,144.95941713343254
6310,13377W,Unoccupied,"(-37.81987589241449, 144.94993894251533)",-37.81987589241449,144.94993894251533
5100,9898N,Present,"(-37.82550552491288, 144.96878711896767)",-37.82550552491288,144.96878711896767
4446,C7738,Unoccupied,"(-37.80314276449994, 144.95043863536836)",-37.80314276449994,144.95043863536836
5130,9943S,Present,"(-37.826025251065474, 144.9673739387342)",-37.826025251065474,144.9673739387342
6146,C13688,Present,"(-37.81998772661222, 144.94327086277917)",-37.81998772661222,144.94327086277917
4437,C7714,Unoccupied,"(-37.80358756983143, 144.95441431149385)",-37.80358756983143,144.95441431149385
6474,13808N,Unoccupied,"(-37.81422996696686, 144.93883268764188)",-37.81422996696686,144.93883268764188
5149,9968N,Unoccupied,"(-37.8259813825744, 144.9671744276539)",-37.8259813825744,144.9671744276539
3563,7089S,Unoccupied,"(-37.80898189187612, 144.95354385138776)",-37.80898189187612,144.95354385138776
567,101W,Unoccupied,"(-37.808253674139955, 144.9714848508682)",-37.808253674139955,144.9714848508682
3555,7081S,Unoccupied,"(-37.808902940538886, 144.95381844311694)",-37.808902940538886,144.95381844311694
957,C828,Present,"(-37.8111871873981, 144.96735757463318)",-37.8111871873981,144.96735757463318
6307,13371W,Present,"(-37.81970875327762, 144.94980292025167)",-37.81970875327762,144.94980292025167
4715,8663W,Present,"(-37.82544047893279, 144.9626300390963)",-37.82544047893279,144.9626300390963
6320,13397W,Present,"(-37.821271039627376, 144.9510326336336)",-37.821271039627376,144.9510326336336
5861,C9126,Unoccupied,"(-37.798408001447044, 144.96480353238462)",-37.798408001447044,144.96480353238462
5493,12046E,Unoccupied,"(-37.812337421022605, 144.98334238469334)",-37.812337421022605,144.98334238469334
6005,13009S,Unoccupied,"(-37.81991148319636, 144.95154801430996)",-37.81991148319636,144.95154801430996
4867,9272N,Unoccupied,"(-37.828947194284616, 144.97000692703705)",-37.828947194284616,144.97000692703705
5154,9978N,Present,"(-37.8260468602455, 144.96694950596955)",-37.8260468602455,144.96694950596955
4190,C6650,Unoccupied,"(-37.808558897064486, 144.95906811837696)",-37.808558897064486,144.95906811837696
1006,951W,Unoccupied,"(-37.81305337978721, 144.96250770939437)",-37.81305337978721,144.96250770939437
4253,C6838,Unoccupied,"(-37.80928953247359, 144.95565755074298)",-37.80928953247359,144.95565755074298
6197,13307W,Unoccupied,"(-37.82052059935896, 144.94720592383425)",-37.82052059935896,144.94720592383425
1007,952E,Unoccupied,"(-37.812853691907605, 144.96262375530551)",-37.812853691907605,144.96262375530551
1134,C1190,Unoccupied,"(-37.81337904315351, 144.95995765570768)",-37.81337904315351,144.95995765570768
7062,4700Ea,Unoccupied,"(-37.80463110382532, 144.95901729620357)",-37.80463110382532,144.95901729620357
3471,6525S,Unoccupied,"(-37.80784257271553, 144.96188044814195)",-37.80784257271553,144.96188044814195
5611,12241S,Unoccupied,"(-37.8095421232241, 144.9747796995444)",-37.8095421232241,144.9747796995444
822,C544,Unoccupied,"(-37.80960950195387, 144.96943568374786)",-37.80960950195387,144.96943568374786
2690,10199W,Present,"(-37.80355520552128, 144.94943939362565)",-37.80355520552128,144.94943939362565
3408,6257S,Present,"(-37.807708853788455, 144.96630832170874)",-37.807708853788455,144.96630832170874
754,C256,Present,"(-37.81533487842363, 144.97206877950464)",-37.81533487842363,144.97206877950464
3863,C5622,Present,"(-37.80711601952778, 144.9549286868729)",-37.80711601952778,144.9549286868729
2726,4369W,Present,"(-37.80977619638415, 144.96100269466265)",-37.80977619638415,144.96100269466265
4358,C7150,Unoccupied,"(-37.807083488656374, 144.9538956261695)",-37.807083488656374,144.9538956261695
3890,C5684,Unoccupied,"(-37.806319546626796, 144.95507086893082)",-37.806319546626796,144.95507086893082
3867,C5630,Unoccupied,"(-37.8069915685774, 144.95495075596412)",-37.8069915685774,144.95495075596412
5868,C9174,Unoccupied,"(-37.7984588240208, 144.96527118696133)",-37.7984588240208,144.96527118696133
6091,13249S,Unoccupied,"(-37.820097325046675, 144.94321334867416)",-37.820097325046675,144.94321334867416
5237,11528N,Unoccupied,"(-37.81196123966662, 144.95124657121818)",-37.81196123966662,144.95124657121818
3283,5848E,Unoccupied,"(-37.80650173373205, 144.9535676381809)",-37.80650173373205,144.9535676381809
2915,4887W,Unoccupied,"(-37.808406832000145, 144.95771997363045)",-37.808406832000145,144.95771997363045
5255,11535S,Unoccupied,"(-37.81203413070608, 144.95140413555123)",-37.81203413070608,144.95140413555123
6922,10055S,Unoccupied,"(-37.82190885461032, 144.96309929184798)",-37.82190885461032,144.96309929184798
2460,C2800,Present,"(-37.81036428788403, 144.9687978547135)",-37.81036428788403,144.9687978547135
3722,7733S,Unoccupied,"(-37.803275156334294, 144.95078278913218)",-37.803275156334294,144.95078278913218
5928,12816N,Unoccupied,"(-37.80285503664619, 144.96775705254356)",-37.80285503664619,144.96775705254356
5427,11806E,Unoccupied,"(-37.81399372674052, 144.97774422227803)",-37.81399372674052,144.97774422227803
6056,13034N,Present,"(-37.82117319038632, 144.94391931390288)",-37.82117319038632,144.94391931390288
3552,7077S,Present,"(-37.8088639372948, 144.95395409403756)",-37.8088639372948,144.95395409403756
2545,C3062,Unoccupied,"(-37.81330288394285, 144.95876387871039)",-37.81330288394285,144.95876387871039
3975,C5918,Unoccupied,"(-37.804432818424715, 144.95390350719538)",-37.804432818424715,144.95390350719538
649,C140,Unoccupied,"(-37.80866018004536, 144.97179932029343)",-37.80866018004536,144.97179932029343
5983,3753S,Unoccupied,"(-37.80989160179435, 144.9630751739479)",-37.80989160179435,144.9630751739479
5481,11885W,Unoccupied,"(-37.81070636079575, 144.97805642088093)",-37.81070636079575,144.97805642088093
2381,3198N,Unoccupied,"(-37.81397607898401, 144.95606599964034)",-37.81397607898401,144.95606599964034
5144,9958N,Unoccupied,"(-37.82594442551273, 144.9673018994581)",-37.82594442551273,144.9673018994581
5452,11856E,Unoccupied,"(-37.81260045802934, 144.97797512596196)",-37.81260045802934,144.97797512596196
751,C244,Unoccupied,"(-37.8154564460866, 144.9721250693515)",-37.8154564460866,144.9721250693515
1038,1215W,Unoccupied,"(-37.812372822735156, 144.95937304974785)",-37.812372822735156,144.95937304974785
6126,C13608,Unoccupied,"(-37.81956463076618, 144.94473774155034)",-37.81956463076618,144.94473774155034
5454,11860E,Unoccupied,"(-37.81249903437504, 144.9779922021858)",-37.81249903437504,144.9779922021858
