second_of_day,second,minute_of_day,minute,hour,hour12,am_pm,time,time12
0,00,00,00,00,00,AM,00:00:00,00:00:00
1,01,00,00,00,00,AM,00:00:01,00:00:01
2,02,00,00,00,00,AM,00:00:02,00:00:02
3,03,00,00,00,00,AM,00:00:03,00:00:03
4,04,00,00,00,00,AM,00:00:04,00:00:04
5,05,00,00,00,00,AM,00:00:05,00:00:05
6,06,00,00,00,00,AM,00:00:06,00:00:06
7,07,00,00,00,00,AM,00:00:07,00:00:07
8,08,00,00,00,00,AM,00:00:08,00:00:08
9,09,00,00,00,00,AM,00:00:09,00:00:09
10,10,00,00,00,00,AM,00:00:10,00:00:10
11,11,00,00,00,00,AM,00:00:11,00:00:11
12,12,00,00,00,00,AM,00:00:12,00:00:12
13,13,00,00,00,00,AM,00:00:13,00:00:13
14,14,00,00,00,00,AM,00:00:14,00:00:14
15,15,00,00,00,00,AM,00:00:15,00:00:15
16,16,00,00,00,00,AM,00:00:16,00:00:16
17,17,00,00,00,00,AM,00:00:17,00:00:17
18,18,00,00,00,00,AM,00:00:18,00:00:18
19,19,00,00,00,00,AM,00:00:19,00:00:19
20,20,00,00,00,00,AM,00:00:20,00:00:20
21,21,00,00,00,00,AM,00:00:21,00:00:21
22,22,00,00,00,00,AM,00:00:22,00:00:22
23,23,00,00,00,00,AM,00:00:23,00:00:23
24,24,00,00,00,00,AM,00:00:24,00:00:24
25,25,00,00,00,00,AM,00:00:25,00:00:25
26,26,00,00,00,00,AM,00:00:26,00:00:26
27,27,00,00,00,00,AM,00:00:27,00:00:27
28,28,00,00,00,00,AM,00:00:28,00:00:28
29,29,00,00,00,00,AM,00:00:29,00:00:29
30,30,00,00,00,00,AM,00:00:30,00:00:30
31,31,00,00,00,00,AM,00:00:31,00:00:31
32,32,00,00,00,00,AM,00:00:32,00:00:32
33,33,00,00,00,00,AM,00:00:33,00:00:33
34,34,00,00,00,00,AM,00:00:34,00:00:34
35,35,00,00,00,00,AM,00:00:35,00:00:35
36,36,00,00,00,00,AM,00:00:36,00:00:36
37,37,00,00,00,00,AM,00:00:37,00:00:37
38,38,00,00,00,00,AM,00:00:38,00:00:38
39,39,00,00,00,00,AM,00:00:39,00:00:39
40,40,00,00,00,00,AM,00:00:40,00:00:40
41,41,00,00,00,00,AM,00:00:41,00:00:41
42,42,00,00,00,00,AM,00:00:42,00:00:42
43,43,00,00,00,00,AM,00:00:43,00:00:43
44,44,00,00,00,00,AM,00:00:44,00:00:44
45,45,00,00,00,00,AM,00:00:45,00:00:45
46,46,00,00,00,00,AM,00:00:46,00:00:46
47,47,00,00,00,00,AM,00:00:47,00:00:47
48,48,00,00,00,00,AM,00:00:48,00:00:48
49,49,00,00,00,00,AM,00:00:49,00:00:49
50,50,00,00,00,00,AM,00:00:50,00:00:50
51,51,00,00,00,00,AM,00:00:51,00:00:51
52,52,00,00,00,00,AM,00:00:52,00:00:52
53,53,00,00,00,00,AM,00:00:53,00:00:53
